summary_date,site,no_davg,name,obs_count,units 
2001-12-25,3168,0.006,Banning Airport,23,Parts Per Million ( ppm ) 
2001-12-25,2943,0.005,Lake Elsinore-W Flint Street,22,Parts Per Million ( ppm ) 
2001-12-25,2596,0.033,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2001-12-25,2266,0.022,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2001-12-25,2221,0.037,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2001-12-25,2485,0.012,Upland,23,Parts Per Million ( ppm ) 
2001-12-25,2965,0.021,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,2671,0.005,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2001-12-25,2321,0.005,Morro Bay,23,Parts Per Million ( ppm ) 
2001-12-25,3251,0.005,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2001-12-25,2709,0.015,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2001-12-25,3003,0.000,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2001-12-25,2008,0.002,El Capitan Beach,23,Parts Per Million ( ppm ) 
2001-12-25,2954,0.001,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2001-12-25,3153,0.005,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2001-12-25,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2001-12-25,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2001-12-25,2360,0.007,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2001-12-25,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2001-12-25,3486,0.003,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2001-12-25,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2001-12-25,2991,0.000,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2001-12-25,3172,0.003,Ojai-Ojai Avenue,22,Parts Per Million ( ppm ) 
2001-12-25,2880,0.017,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2001-12-25,2984,0.013,Thousand Oaks-Moorpark Road,22,Parts Per Million ( ppm ) 
2001-12-25,2756,0.000,Ventura County-W Casitas Pass Road,24,Parts Per Million ( ppm ) 
2001-12-25,2088,0.004,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2001-12-25,2460,0.003,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2001-12-25,3198,0.012,Camp Pendleton,24,Parts Per Million ( ppm ) 
2001-12-25,2589,0.017,Chula Vista,23,Parts Per Million ( ppm ) 
2001-12-25,2327,0.060,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,2263,0.065,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2001-12-25,2897,0.012,Oceanside-Mission Avenue,24,Parts Per Million ( ppm ) 
2001-12-25,2933,0.009,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2001-12-25,2964,0.046,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,2040,0.013,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,2293,0.002,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2001-12-25,3490,0.004,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2001-12-25,3659,0.025,Oakland-6701 International Blvd,24,Parts Per Million ( ppm ) 
2001-12-25,2804,0.005,Bethel Island Road,23,Parts Per Million ( ppm ) 
2001-12-25,2831,0.008,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2001-12-25,3660,0.000,Crockett-1098 Pomona Street,21,Parts Per Million ( ppm ) 
2001-12-25,2102,0.004,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2001-12-25,3207,0.002,San Pablo-El Portal,23,Parts Per Million ( ppm ) 
2001-12-25,2622,0.010,San Rafael,23,Parts Per Million ( ppm ) 
2001-12-25,2655,0.002,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
